column,description,source,level,year,is_estimate,label,filled_by
ward_id,Stable ward identifier AMC-NN,Derived from DataMeet ward number,ward,2015 delimitation,False,census,build_wards.py
ward_no,AMC ward number,DataMeet Municipal_Spatial_Data (AMC map),ward,2015 delimitation,False,census,build_wards.py
ward_name,Ward name,DataMeet Municipal_Spatial_Data (AMC map),ward,2015 delimitation,False,census,build_wards.py
area_km2,Ward area,Computed from boundary (UTM 43N),ward,-,False,model_estimate,build_wards.py
centroid_lat,Ward centroid latitude (weather lookup point),Computed from boundary,ward,-,False,model_estimate,build_wards.py
centroid_lon,Ward centroid longitude (weather lookup point),Computed from boundary,ward,-,False,model_estimate,build_wards.py
n_hospitals,Hospitals inside ward,OpenStreetMap,point,current,False,census,build_wards.py
n_clinics,Clinics and doctors inside ward,OpenStreetMap,point,current,False,census,build_wards.py
n_cooling_points,Drinking-water points and parks inside ward,OpenStreetMap (+ AMC lists when added),point,current,False,census,build_wards.py
n_candidate_sites,Schools/community centres/libraries/ward offices inside ward,OpenStreetMap + AMC via DataMeet,point,current,False,census,build_wards.py
nearest_hospital_km,Straight-line km from centroid to nearest hospital (provisional access proxy),OpenStreetMap,ward,current,True,model_estimate,build_wards.py
zone,AMC administrative zone,"Wikipedia (Amdavad Municipal Corporation), cross-checked with AMC UHC list zone codes",ward,current,False,census,manual
informal_housing_share,Share of population in slums/informal settlements,Census 2011 slum tables + AMC slum list; reallocated to 2015 wards,ward,2011,True,model_estimate,manual
roof_sheet_share,Share of households with metal/asbestos/sheet roofs (Innovation 1),Census 2011 Houselisting HH tables; reallocated to 2015 wards,town or ward,2011,True,model_estimate,manual
outdoor_worker_share,Share of workers in outdoor occupations,PLFS/NSSO district figures disaggregated by population,district,latest PLFS,True,model_estimate,manual
hospital_beds,Public hospital beds located in the ward (private hospitals not yet included),data/manual/hospital_beds.csv (Wikipedia Healthcare in Ahmedabad; DeshGujarat 2023),facility,2019-2023,True,model_estimate,build_wards.py
historical_factor,H_m historical heat-illness factor (default 1.0 if no data),NCDC NPCCHH / AMC health dept,ward or district,past seasons,True,historical,manual
capacity_factor,C_h capacity-pressure factor (default 1.0 if no data),Derived from beds per population,ward,current,True,model_estimate,manual
notes,Free-text notes on how a row was filled,-,ward,-,False,census,manual
population,Total population,WorldPop 100 m constrained (via Earth Engine),100 m grid,2020,True,model_estimate,gee
pop_60plus,Population aged 60+,WorldPop age-sex structures (via Earth Engine),100 m grid,2020,True,model_estimate,gee
pop_under5,Population aged 0-4,WorldPop age-sex structures (via Earth Engine),100 m grid,2020,True,model_estimate,gee
lst_day,Summer daytime land surface temperature (°C),Landsat 8/9 Collection 2 L2 (Apr-Jun median),30 m,2021-2025,False,satellite_derived,gee
lst_night,Summer night-time land surface temperature (°C),MODIS MOD11A2 (Apr-Jun median),1 km,2021-2025,False,satellite_derived,gee
ndvi,Summer vegetation index,Sentinel-2 SR harmonized (Apr-Jun median),10 m,2021-2025,False,satellite_derived,gee
builtup_frac,Share of ward area built up,ESA WorldCover v200,10 m,2021,False,satellite_derived,gee
tree_cover,Share of ward area under tree cover,ESA WorldCover v200,10 m,2021,False,satellite_derived,gee
elderly_share,pop_60plus / population,Derived,ward,2020,True,model_estimate,build_wards.py
under5_share,pop_under5 / population,Derived,ward,2020,True,model_estimate,build_wards.py
population_density,population / area_km2 (per km²),Derived,ward,2020,True,model_estimate,build_wards.py
